instance,n,variant,solver,runs,feasible_runs,reference_dv_kms,reference_kind,dv_best_kms,dv_mean_kms,dv_std_kms,gap_best_pct,gap_mean_pct,gap_std_pct,gap_worst_pct,runtime_mean_s,runtime_std_s,runtime_note,feasibility_rate_mean,reason
n4_static,4,static,brute,1,1,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,4.5041029807180166e-05,0.0,wall clock,,
n4_static,4,static,cpsat,5,5,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,0.0058758916100487115,0.004564831150627873,configured time limit unless proven_optimal,1.0,
n4_static,4,static,exact,1,1,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,0.00019354198593646288,0.0,wall clock,,
n4_static,4,static,greedy,1,1,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,9.950000094249845e-05,0.0,wall clock,,
n4_static,4,static,local-search,5,5,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,0.001312366803176701,0.00013581635434916826,wall clock,,
n4_static,4,static,ortools,5,5,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,5.005786232999526,0.010104858828965398,"configured time limit, not a measurement",1.0,
n4_static,4,static,qaoa,5,5,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,64.30397866680286,7.262602182195447,classical statevector simulation time,0.034375,
n4_static,4,static,sa-perm,5,5,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,1.6763284250046127,0.010790160228861033,wall clock,1.0,
n4_static,4,static,sa-qubo,5,5,0.5946282473318969,exact,0.5946282473318969,0.5946282473318969,0.0,0.0,0.0,0.0,0.0,0.07275914999190718,0.002097092891979523,wall clock,1.0,
n4_td30d,4,td,brute,1,1,0.5204973409774242,exact,0.5204973409774242,0.5204973409774242,0.0,0.0,0.0,0.0,0.0,4.03339508920908e-05,0.0,wall clock,,
n4_td30d,4,td,cpsat,5,5,0.5204973409774242,exact,0.5204973409774242,0.5204973409774242,0.0,0.0,0.0,0.0,0.0,0.004078925005160272,0.0006779021071389564,configured time limit unless proven_optimal,1.0,
n4_td30d,4,td,exact,1,1,0.5204973409774242,exact,0.5204973409774242,0.5204973409774242,0.0,0.0,0.0,0.0,0.0,0.00010062498040497303,0.0,wall clock,,
n4_td30d,4,td,greedy,1,1,0.5204973409774242,exact,0.5204973409774242,0.5204973409774242,0.0,0.0,0.0,0.0,0.0,1.8207996618002653e-05,0.0,wall clock,,
